tick: 200.0,             Human number: 52,             Zombie number: 53
tick: 201.0,             Human number: 52,             Zombie number: 53
tick: 202.0,             Human number: 52,             Zombie number: 53
tick: 203.0,             Human number: 52,             Zombie number: 53
tick: 204.0,             Human number: 51,             Zombie number: 54
tick: 205.0,             Human number: 51,             Zombie number: 54
tick: 206.0,             Human number: 51,             Zombie number: 54
tick: 207.0,             Human number: 50,             Zombie number: 55
tick: 208.0,             Human number: 48,             Zombie number: 57
tick: 209.0,             Human number: 48,             Zombie number: 57
tick: 210.0,             Human number: 48,             Zombie number: 57
tick: 211.0,             Human number: 48,             Zombie number: 57
tick: 212.0,             Human number: 48,             Zombie number: 57
tick: 213.0,             Human number: 47,             Zombie number: 58
tick: 214.0,             Human number: 47,             Zombie number: 58
tick: 215.0,             Human number: 47,             Zombie number: 58
tick: 216.0,             Human number: 47,             Zombie number: 58
tick: 217.0,             Human number: 45,             Zombie number: 60
tick: 218.0,             Human number: 45,             Zombie number: 60
tick: 219.0,             Human number: 44,             Zombie number: 61
tick: 220.0,             Human number: 44,             Zombie number: 61
tick: 221.0,             Human number: 43,             Zombie number: 62
tick: 222.0,             Human number: 43,             Zombie number: 62
tick: 223.0,             Human number: 41,             Zombie number: 64
tick: 224.0,             Human number: 41,             Zombie number: 64
tick: 225.0,             Human number: 41,             Zombie number: 64
tick: 226.0,             Human number: 40,             Zombie number: 65
tick: 227.0,             Human number: 40,             Zombie number: 65
tick: 228.0,             Human number: 39,             Zombie number: 66
tick: 229.0,             Human number: 38,             Zombie number: 67
tick: 230.0,             Human number: 38,             Zombie number: 67
tick: 231.0,             Human number: 37,             Zombie number: 68
tick: 232.0,             Human number: 35,             Zombie number: 70
tick: 233.0,             Human number: 35,             Zombie number: 70
tick: 234.0,             Human number: 35,             Zombie number: 70
tick: 235.0,             Human number: 35,             Zombie number: 70
tick: 236.0,             Human number: 35,             Zombie number: 70
tick: 237.0,             Human number: 34,             Zombie number: 71
tick: 238.0,             Human number: 34,             Zombie number: 71
tick: 239.0,             Human number: 33,             Zombie number: 72
tick: 240.0,             Human number: 33,             Zombie number: 72
tick: 241.0,             Human number: 32,             Zombie number: 73
tick: 242.0,             Human number: 31,             Zombie number: 74
tick: 243.0,             Human number: 29,             Zombie number: 76
tick: 244.0,             Human number: 26,             Zombie number: 79
tick: 245.0,             Human number: 22,             Zombie number: 83
tick: 246.0,             Human number: 22,             Zombie number: 83
tick: 247.0,             Human number: 21,             Zombie number: 84
tick: 248.0,             Human number: 20,             Zombie number: 85
tick: 249.0,             Human number: 20,             Zombie number: 85
tick: 250.0,             Human number: 20,             Zombie number: 85
tick: 251.0,             Human number: 19,             Zombie number: 86
tick: 252.0,             Human number: 18,             Zombie number: 87
tick: 253.0,             Human number: 17,             Zombie number: 88
tick: 254.0,             Human number: 16,             Zombie number: 89
tick: 255.0,             Human number: 16,             Zombie number: 89
tick: 256.0,             Human number: 16,             Zombie number: 89
tick: 257.0,             Human number: 15,             Zombie number: 90
tick: 258.0,             Human number: 15,             Zombie number: 90
tick: 259.0,             Human number: 13,             Zombie number: 92
tick: 260.0,             Human number: 13,             Zombie number: 92
tick: 261.0,             Human number: 13,             Zombie number: 92
tick: 262.0,             Human number: 13,             Zombie number: 92
tick: 263.0,             Human number: 13,             Zombie number: 92
tick: 264.0,             Human number: 13,             Zombie number: 92
tick: 265.0,             Human number: 12,             Zombie number: 93
tick: 266.0,             Human number: 12,             Zombie number: 93
tick: 267.0,             Human number: 12,             Zombie number: 93
tick: 268.0,             Human number: 12,             Zombie number: 93
